Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22uF,CP_EIA-3216-18_Kemet-A,17.000000,-31.400000,0.000000,top
C2,22uF,CP_EIA-3216-18_Kemet-A,3.000000,-31.400000,180.000000,top
C3,1nF,C_0603_1608Metric,2.400000,-33.900000,180.000000,top
D1,KT-0603RG,KT-0603RG,15.000000,-21.000000,0.000000,top
J1,AC connector,USB_A_CNCTech_1001-011-01101_Horizontal,10.000000,-52.800000,270.000000,top
Q1,2N7002,SOT-23,5.000000,-26.000000,180.000000,top
Q2,2N7002,SOT-23,15.000000,-26.000000,180.000000,top
Q3,2N7002,SOT-23,10.000000,-26.000000,180.000000,top
R1,2.2K,R_0603_1608Metric,12.500000,-21.000000,90.000000,top
RN1,10K,R_Array_Concave_4x0603,9.000000,-21.000000,270.000000,top
RN2,10K,R_Array_Concave_4x0603,5.000000,-21.000000,90.000000,top
SW1,FLASH,TS-1088,17.500000,-39.000000,90.000000,top
SW2,RESET,TS-1088,2.500000,-39.000000,90.000000,top
U1,AMS1117-3.3,SOT-223-3_TabPin2,10.000000,-34.600000,90.000000,top
U2,ESP-12F,ESP-12E,10.000000,-4.600000,0.000000,top
